time,status,f0_,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,approved,3.0,9,12,11,6.42,4.85
00h,approved,3.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,refunded,1.0,9,12,11,6.42,4.85
00h,refunded,1.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,13.0,9,12,11,6.42,4.85
00h,approved,13.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,3.0,9,12,11,6.42,4.85
00h,approved,3.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,3.0,9,12,11,6.42,4.85
00h,approved,3.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,8.0,9,12,11,6.42,4.85
00h,approved,8.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,5.0,9,12,11,6.42,4.85
00h,approved,5.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,approved,8.0,9,12,11,6.42,4.85
00h,approved,8.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,approved,8.0,9,12,11,6.42,4.85
00h,approved,8.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,approved,7.0,9,12,11,6.42,4.85
00h,approved,7.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,approved,5.0,9,12,11,6.42,4.85
00h,approved,5.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,approved,5.0,9,12,11,6.42,4.85
00h,approved,5.0,6,9,5,5.0,4.92
00h,approved,2.0,9,12,11,6.42,4.85
00h,approved,2.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,reversed,1.0,9,12,11,6.42,4.85
00h,reversed,1.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,approved,11.0,9,12,11,6.42,4.85
00h,approved,11.0,6,9,5,5.0,4.92
00h,approved,6.0,9,12,11,6.42,4.85
00h,approved,6.0,6,9,5,5.0,4.92
00h,denied,5.0,9,12,11,6.42,4.85
00h,denied,5.0,6,9,5,5.0,4.92
00h,approved,2.0,9,12,11,6.42,4.85
00h,approved,2.0,6,9,5,5.0,4.92
00h,approved,10.0,9,12,11,6.42,4.85
00h,approved,10.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,denied,2.0,9,12,11,6.42,4.85
00h,denied,2.0,6,9,5,5.0,4.92
00h,approved,5.0,9,12,11,6.42,4.85
00h,approved,5.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,5.0,9,12,11,6.42,4.85
00h,approved,5.0,6,9,5,5.0,4.92
00h,approved,2.0,9,12,11,6.42,4.85
00h,approved,2.0,6,9,5,5.0,4.92
00h,denied,3.0,9,12,11,6.42,4.85
00h,denied,3.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,reversed,1.0,9,12,11,6.42,4.85
00h,reversed,1.0,6,9,5,5.0,4.92
00h,approved,2.0,9,12,11,6.42,4.85
00h,approved,2.0,6,9,5,5.0,4.92
00h,approved,2.0,9,12,11,6.42,4.85
00h,approved,2.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,3.0,9,12,11,6.42,4.85
00h,approved,3.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
00h,approved,4.0,9,12,11,6.42,4.85
00h,approved,4.0,6,9,5,5.0,4.92
00h,denied,1.0,9,12,11,6.42,4.85
00h,denied,1.0,6,9,5,5.0,4.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,12.0,3,5,1,1.85,1.92
01h,approved,12.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,denied,3.0,3,5,1,1.85,1.92
01h,denied,3.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,backend_reversed,1.0,3,5,1,1.85,1.92
01h,backend_reversed,1.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,refunded,1.0,3,5,1,1.85,1.92
01h,refunded,1.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,approved,6.0,3,5,1,1.85,1.92
01h,approved,6.0,3,3,2,2.0,1.92
01h,denied,3.0,3,5,1,1.85,1.92
01h,denied,3.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,5.0,3,5,1,1.85,1.92
01h,approved,5.0,3,3,2,2.0,1.92
01h,approved,6.0,3,5,1,1.85,1.92
01h,approved,6.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,approved,4.0,3,5,1,1.85,1.92
01h,approved,4.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,approved,3.0,3,5,1,1.85,1.92
01h,approved,3.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,denied,2.0,3,5,1,1.85,1.92
01h,denied,2.0,3,3,2,2.0,1.92
01h,approved,2.0,3,5,1,1.85,1.92
01h,approved,2.0,3,3,2,2.0,1.92
01h,approved,1.0,3,5,1,1.85,1.92
01h,approved,1.0,3,3,2,2.0,1.92
01h,denied,1.0,3,5,1,1.85,1.92
01h,denied,1.0,3,3,2,2.0,1.92
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,3.0,1,0,0,0.28,0.82
02h,approved,3.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,4.0,1,0,0,0.28,0.82
02h,approved,4.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,3.0,1,0,0,0.28,0.82
02h,approved,3.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,3.0,1,0,0,0.28,0.82
02h,approved,3.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,3.0,1,0,0,0.28,0.82
02h,approved,3.0,3,1,2,0.42,0.75
02h,approved,4.0,1,0,0,0.28,0.82
02h,approved,4.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,denied,1.0,1,0,0,0.28,0.82
02h,denied,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,2.0,1,0,0,0.28,0.82
02h,approved,2.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
02h,approved,1.0,1,0,0,0.28,0.82
02h,approved,1.0,3,1,2,0.42,0.75
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,3.0,1,0,0,0.42,0.46
03h,approved,3.0,0,1,1,0.42,0.46
03h,approved,3.0,1,0,0,0.42,0.46
03h,approved,3.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,2.0,1,0,0,0.42,0.46
03h,denied,2.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,4.0,1,0,0,0.42,0.46
03h,approved,4.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,2.0,1,0,0,0.42,0.46
03h,denied,2.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,denied,2.0,1,0,0,0.42,0.46
03h,denied,2.0,0,1,1,0.42,0.46
03h,denied,2.0,1,0,0,0.42,0.46
03h,denied,2.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,approved,2.0,1,0,0,0.42,0.46
03h,approved,2.0,0,1,1,0.42,0.46
03h,approved,4.0,1,0,0,0.42,0.46
03h,approved,4.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,denied,1.0,1,0,0,0.42,0.46
03h,denied,1.0,0,1,1,0.42,0.46
03h,approved,1.0,1,0,0,0.42,0.46
03h,approved,1.0,0,1,1,0.42,0.46
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,2.0,0,0,1,0.42,0.21
04h,approved,2.0,0,0,0,0.14,0.21
04h,denied,1.0,0,0,1,0.42,0.21
04h,denied,1.0,0,0,0,0.14,0.21
04h,denied,1.0,0,0,1,0.42,0.21
04h,denied,1.0,0,0,0,0.14,0.21
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,1.0,0,0,1,0.42,0.21
04h,approved,1.0,0,0,0,0.14,0.21
04h,approved,2.0,0,0,1,0.42,0.21
